cardname,cardq,cardrarity,cardcondition,card_edition,cardset,cardcode,cardid 
""A" Cell Breeding Device",6,"Common",M,Unlimited,"Force of the Breaker",FOTB-EN043,34541863 
""A" Cell Incubator",4,"Common",M,Unlimited,"Gladiator's Assault",GLAS-EN062,64163367 
""A" Cell Scatter Burst",6,"Common",M,Unlimited,"Strike of Neos",STON-EN041,73262676 
"3-Hump Lacooda",4,"Common",M,Unlimited,"Ancient Sanctuary",AST-070,86988864 
"7",8,"Common",M,Unlimited,"Ancient Sanctuary",AST-091,67048711 
"7 Colored Fish",7,"Common",M,Unlimited,"Metal Raiders",MRD-098,23771716 
"7 Completed",5,"Common",M,Unlimited,"Pharaoh's Servant",PSV-004,86198326 
"8-Claws Scorpion",7,"Common",M,Unlimited,"Pharaonic Guardian",PGD-024,14261867 
"A Cat of Ill Omen",4,"Common",M,Unlimited,"Pharaonic Guardian",PGD-070,24140059 
"A Deal with Dark Ruler",4,"Common",M,Unlimited,"Dark Crisis",DCR-030,6850209 
"A Feint Plan",5,"Common",M,Unlimited,"Legacy of Darkness",LOD-032,68170903 
"A Hero Emerges",8,"Common",M,Unlimited,"Invasion of Chaos",IOC-104,21597117 
"A Legendary Ocean",3,"Common",M,Unlimited,"Dark Beginning 2",DB2-EN187,295517 
"A Man with Wdjat",4,"Common",M,1st Edition,"Pharaonic Guardian",PGD-068,51351302 
"A Rival Appears!",17,"Common",M,Unlimited,"Cybernetic Revolution",CRV-EN054,5728014 
"A Wingbeat of Giant Dragon",9,"Common",M,Unlimited,"Legacy of Darkness",LOD-044,28596933 
"A-Team: Trap Disposal Unit",1,"Ultimate Rare",M,Unlimited,"Rise of Destiny",RDS-EN033,13026402 
"Abaki",3,"Common",M,1st Edition,"Cyberdark Impact",CDIP-EN013,12694768 
"Abare Ushioni",9,"Common",M,Unlimited,"Flaming Eternity",FET-EN026,89718302 
"Absolute End",14,"Common",M,Unlimited,"Soul of the Duelist",SOD-EN050,27744077 
"Absorbing Kid from the Sky",5,"Common",M,1st Edition,"Ancient Sanctuary",AST-072,49771608 
"Abyssal Designator",9,"Common",M,Unlimited,"Soul of the Duelist",SOD-EN040,89801755 
"Abyssal Kingshark",1,"Secret Rare",M,1st Edition,"Tactical Evolution",TAEV-EN084,44223284 
"Accumulated Fortune",7,"Common",M,1st Edition,"Cyberdark Impact",CDIP-EN057,98444741 
"Acidic Downpour",4,"Common",M,Unlimited,"Phantom Darkness",PTDN-EN058,35956022 
"Acrobat Monkey",6,"Common",M,Unlimited,"Dark Crisis",DCR-003,47372349 
"Adhesion Trap Hole",5,"Common",M,Unlimited,"Magician's Force",MFC-050,62325062 
"Adhesive Explosive",4,"Rare",M,Unlimited,"Shadow of Infinity",SOI-EN011,53828396 
"Advanced Ritual Art",6,"Common",M,Unlimited,"Strike of Neos",STON-EN045,46052429 
"After the Struggle",2,"Rare",M,Unlimited,"Legacy of Darkness",LOD-EN086,25345186 
"Agido",4,"Common",M,1st Edition,"Dark Crisis",DCR-080,16135253 
"Alchemy Cycle",1,"Common",M,Unlimited,"Phantom Darkness",PTDN-EN068,65384019 
